topic_id,topic_name,description,status
hiring,Найм,Рост или снижение активности найма,active
layoffs,Сокращения,Сокращения штата и увольнения,active
salary,Зарплаты,Рост или снижение зарплат и компенсаций,active
talent_shortage,Кадровый дефицит,Нехватка кадров по рынку или сегменту,active
it_market,ИТ-рынок,Сигналы по ИТ-найму, ИТ-зарплатам и ИТ-спросу,active
macro,Макроэкономика,Инфляция ставка безработица деловая активность,active
corporate,Корпоративные сигналы,Массовый найм freeze expansion restructuring,active
regions,Региональная динамика,Различия между регионами и макрорегионами,active
skills,Навыки и профессии,Спрос на специальности навыки и роли,active
regulation,Регулирование,Изменения политики права и госинициатив,active
